title,type,year
Factors influencing E-financial service bond : the case of internet banking and mobile banking,วิทยานิพนธ์,2551
Developing ERP implementation success factors of Thai SMEs.,วิทยานิพนธ์,2551
การประมูลออนไลน์ (E-auction) กับธุรกิจการส่งออกข้าวของไทย,วิทยานิพนธ์,2551
การศึกษาปัจจัยที่มีผลต่อผู้บริโภคในการเลือกซื้อสินค้าจากร้านค้าปลีกแบบมีร้านค้ากับร้านค้าปลีกทางอินเทอร์เน็ต,งานวิจัย,2551
ปัจจัยสนับสนุนการใช้ระบบประชุมทางไกลผ่านจอภาพในองค์กรให้เกิดประสิทธิผล,งานวิจัย,2551
ปัจจัยที่ส่งผลต่อความสำเร็จในการใช้ระบบงาน Image-enabled Workflow Application กรณีศึกษา : ศูนย์ปฏิบัติการเอกสารสัญญาของ ธนาคารกรุงเทพ จำกัด (มหาชน),งานวิจัย,2551
Determinants of User Acceptance of Wikipedia,งานวิจัย,2551
ปัจจัยที่มีผลต่อการตัดสินใจเลือกใช้บริการที่สาขาธนาคารและธนาคารทางอินเทอร์เน็ต,งานวิจัย,2551
ปัจจัยที่มีอิทธิพลต่อการตัดสินใจของผู้บริโภคในการเปิดรับสื่อโฆษณาออนไลน์ในประเทศไทย,งานวิจัย,2551
การศึกษาปัจจัยความสำเร็จของการนำระบบจัดการความรู้มาใช้เพื่อพัฒนาคุณภาพการบริการของ Call Center สำหรับธุรกิจโทรคมนาคมในประเทศไทย,งานวิจัย,2551
ปัจจัยแห่งความสำเร็จของการตลาดแบบตัวแทนจำหน่าย : กรณีศึกษาประเทศไทย,งานวิจัย,2551
ปัจจัยที่มีอิทธิพลต่อการละเมิดลิขสิทธิ์ซอฟต์แวร์หรือสื่อดิจิตอลในประเทศไทย,งานวิจัย,2551
อิทธิพลของทัศนคติด้านความเป็นส่วนตัวของผู้ใช้งานอินเทอร์เน็ตที่มีความไว้วางใจในเว็บไซต์,งานวิจัย,2551
ปัจจัยที่ส่งผลต่อการตัดสินใจประมูลซื้อสินค้าผ่านเว็บประมูลออนไลน์,งานวิจัย,2551
ปัจจัยที่มีผลต่อความสำเร็จในการขายเพลงออนไลน์ผ่านอินเทอร์เน็ต,งานวิจัย,2551
ปัจจัยที่มีผลต่อการตัดสินใจของผู้ใช้บริการในการต่ออายุการใช้บริการเทคโนโลยีสารสนเทศจากบุคคลภายนอก (IT Outsource) สำหรับกลุ่มผู้ให้บริการทางการเงินในประเทศไทย,งานวิจัย,2551
ปัจจัยที่มีอิทธิพลต่อการยอมรับการใช้บริการด้านการจัดการข้อมูลจราจรคอมพิวเตอร์ (Log Management) จากแหล่งภายนอกของผู้ให้บริการร้านอินเทอร์เน็ตและร้านเกมส์ออนไลน์ในเขตกรุงเทพมหานคร,งานวิจัย,2551
ปัจจัยที่ส่งผลต่อการยอมรับระบบงานบริหารจัดการน้ำสูญเสีย หรือระบบ WLMA กรณีศึกษาการประปานครหลวง,งานวิจัย,2551
Enhancing Customer Loyalty towards Corporate Social Responsibility of Thai Mobile Service Providers,วิทยานิพนธ์,2552
Determining the Online Purchasing Loyalty for Thai Herbal Products,วิทยานิพนธ์,2552
Internet Bandwidth Network Quality Management:The Case of Thai Internet Service Provider,วิทยานิพนธ์,2552
Knowledge Acquisition elicited specialists,งานวิจัย,2552
ปัจจัยที่มีอิทธิพลต่อการยอมรับและใช้บริการโมบายแบงค์กิ้ง,งานวิจัย,2552
IT Outsourcing,งานวิจัย,2552
ปัจจัยที่ส่งผลต่อทัศนคติในการใช้อินเตอร์เน็ตแบงก์กิ้ง : อิทธิพลของบุคลิกลักษณะที่ส่งผลต่อความใว้ใจ,งานวิจัย,2552
Enhancing high quality information from data warehouse,งานวิจัย,2552
ปัจจัยที่ส่งผลต่อความสำเร็จในการเผยแผ่พระพุทธศาสนาผ่านเว็บไซต์,งานวิจัย,2552
An Empirical Framework of Key Success Factors for Software Process Improvement,งานวิจัย,2552
The Success of Data mining system in Thailand private sectors: Case study Telecommunication and Bank Business in Bangkok,งานวิจัย,2552
Factors affecting software quality : Software developemnt company,งานวิจัย,2552
ตลาดข้อมูลเพื่อการวิเคราห์ทางด้านการขายและการตลาดสำหรับธุรกิจผลิดและจำหน่ายพลาสติก,งานวิจัย,2552
ปัจจัยที่มีผลต่อความสำเร็จของระบบจัดการความรู้ในอุตสาหกรรมธนาคาร,งานวิจัย,2552
การพัฒนาตราสินค้าอิเล็กทรอนิกส์เพื่อความสำเร็จของพาณิชย์อิเล็กทรอนิกส์ กรณีศึกษา: พาณิชย์อิเล็กทรอนิกส์ของประเทศไทย,งานวิจัย,2552
ปัจจัยในการประสบความสำเร็จในมุมมองของลูกค้ากับการใช้งานระบบบริหารจัดการความสัมพันธ์ลูกค้าผ่านทางโทรศัพท์มือถือ,งานวิจัย,2552
การลงทุนด้านเทคโนโลยีสารสนเทศให้เกิดประสิทธิภาพของหน่วยงานอิสระในประเทศไทย,งานวิจัย,2552
ปัจจัยที่ส่งผลต่อความสำเร็จของการใช้ IT Outsourcing,งานวิจัย,2552
องค์ประกอบสำคัญที่ส่งผลต่อความภักดีในตราสินค้าของผู้บริโภค จากการมีส่วนร่วมในชุมชนตราสินค้าออนไลน์,งานวิจัย,2552
e-Excise Tax Success Model,งานวิจัย,2552
การยอมรับ Open source software: มุมมองของบุคคลทั่วไป,งานวิจัย,2552
การยอมรับในการนำกระดาษทำการอิเล็กทรอนิกส์มาใช้ในกระบวนการตรวจสอบบัญชีด้วยหลักการบริหารการเปลี่ยนแปลง,งานวิจัย,2552
ตลาดข้อมูลเพื่อการวิเคราห์ทางด้านการขายและการตลาดสำหรับธุรกิจผลิดและจำหน่ายพลาสติก,งานพัฒนา/จัดหาระบบสารสนเทศ,2552
แผนระบบสารสนเทศเชิงกลยุทธ์โรงเรียนอุปถัมภ์วิทยาพนม,งานแผนกลยุทธ์ดิจิทัล,2552
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา ตลาดหลักทรัพย์แห่งประเทศไทย,งานแผนกลยุทธ์ดิจิทัล,2552
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท ดอยคำผลิตภัณฑ์อาหาร จำกัด,งานแผนกลยุทธ์ดิจิทัล,2552
แผนระบบสารสนเทศเชิงกลยุทธ์ บริษัท ไทยกลอบอลโฮสติ้ง จากัด,งานแผนกลยุทธ์ดิจิทัล,2552
การพัฒนาแผนกลยุทธ์ทางด้านสารสนเทศ บริษัท เวชภัณฑ์ยาเพื่อสุขภาพ (ประเทศไทย) จำกัด,งานแผนกลยุทธ์ดิจิทัล,2552
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท โรงเส้นหมี่ชอเฮง จำกัด,งานแผนกลยุทธ์ดิจิทัล,2552
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท แมพพาช (ประเทศไทย) จำกัด,งานแผนกลยุทธ์ดิจิทัล,2552
แผนระบบสารสนเทศเชิงกลยุทธ์ บริษัท ไทยพาณิชย์สามัคคีประกันภัย จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2552
แผนระบบสารสนเทศเชิงกลยุทธ์หน่วยงานปฏิบัติการข้อมูลลูกค้า ธนาคารสยามทรัพย์สิน จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2552
การจัดทำแผนกลยุทธ์เทคโนโลยีสารสนเทศของสำนักปฏิบัติการทางเครือข่ายทั่วประเทศ บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2552
แผนกลยุทธ์ทางด้าน IS ของบริษัท ตากสิน แมชชีน เซลส์ แอนด์ เซอร์วิส จำกัด,งานแผนกลยุทธ์ดิจิทัล,2552
แผนกลยุทธ์ทางด้าน IS ของบริษัท ตากสิน แมชชีน เซลส์ แอนด์ เซอร์วิส จำกัด,งานแผนกลยุทธ์ดิจิทัล,2552
แผนกลยุทธ์ด้าน IS บริษัท วาโก้ จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2552
Social network management through knowledge sharing to enhance customer relationship,วิทยานิพนธ์,2553
ปัจจัยที่มีผลต่อความสำเร็จของบริการฐานข้อมูลออนไลน์ในห้องสมุดสถาบันอุดมศึกษาไทย,งานวิจัย,2553
การสร้างความเชื่อมั่นในประสิทธิภาพของตนเองในการปฏิบัติงานของผู้ตรวจสอบภายในทางด้านเทคโนโลยีสารสนเทศ กรณีศึกษาบริษัทในกลุ่มธุรกิจทางด้านการเกษตรและกลุ่มธุรกิจเทคโนโลยีสารสนเทศและการสื่อสาร,งานวิจัย,2553
การศึกษาปัจจัยการยอมรับการใช้บริการชำระสินค้าหรือบริการผ่านมือถือ,งานวิจัย,2553
ความสัมพันธ์ของประเภทเทคโนโลยีสารสนเทศต่อการบูรณาการด้านการจัดการซัพพลายเชนที่ส่งผลต่อประสิทธิภาพการจัดส่ง,งานวิจัย,2553
ปัจจัยการเกิดความคิดสร้างสรรค์ในบริบทของการจัดการความรู้ : กรณีศึกษากลุ่มบริษัทปิโตรเลียมขนาดใหญ่ของไทย,งานวิจัย,2553
Enhancing performance of baby boomers’ information systems use,งานวิจัย,2553
Factors affecting purchase intention of goods or services advertised through social network communities,งานวิจัย,2553
ตัวขับและผลสืบเนื่องของการเสพติดโปรแกรมประยุกต์บนโทรศัพท์เคลื่อนที่,งานวิจัย,2553
Success factors in implementation of ITIL in IT service organizations,งานวิจัย,2553
ปัจจัยหลักแห่งความสำเร็จในการใช้เครือข่ายสังคมสร้างชุมชนออนไลน์ในมหาวิทยาลัยกรณีศึกษา โครงการปริญญาตรี และปริญญาโทภาคพิเศษ คณะพาณิชยศาสตร์และการบัญชี มหาวิทยาลัยธรรมศาสตร์,งานวิจัย,2553
การสร้างความคิดใหม่ในการใช้ระบบสนับสนุนการจัดการที่มีอยู่ในองค์กรรัฐวิสาหกิจไทย,งานวิจัย,2553
ปัจจัยที่มีอิทธิพลต่อการยอมรับใช้งานระบบการชำระเงินผ่านโทรศัพท์เคลื่อนที่สำหรับผู้ใช้บริการในกรุงเทพมหานครและปริมลฑล,งานวิจัย,2553
พัฒนาระบบสารสนเทศ ระบบรับเหมาพัฒนาเว็บไซต์ บริษัท เกลอเน็ต จำกัด,งานพัฒนา/จัดหาระบบสารสนเทศ,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท ผลิตภัณฑ์อาหารกว้างไพศาล จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ของ บริษัท ต้นข้าว จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท อเมริกัน อินเตอร์แนชชั่นแนล แอสชัวรันส์ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท พี.ซี. แคบินส์ จำกดั,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ บริษัท เอบีซี แมเนจเม้นท์ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท อโกร เคมีคอล จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนกลยุทธ์ทางด้านระบบสารสนเทศของ บริษัท ไพโอเนีย อินดัสเตรียล ครีเอทีฟ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท ฟาร์มกุ้งไทย จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท ยูบิลลี่ เอ็นเตอร์ไพรส์ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท พงศ์พารา โพลิเมอร์ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท เอเอเอ กรดซิตริก จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ร้านวัสดุก่อสร้าง บริษัท แมนสุขภัณฑ์ (1999) จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท เอ็นแอล ดีเวลลอปเมนต์ จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัทเด็มโก้ จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท เว็ลธ์ แมเนจเม้นท์ ซิสเท็ม จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท ยูนิคอม เอ็นจิเนียริ่ง จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
การวางแผนกลยุทธ์ทางด้าน IT ให้กับบริษัทผลิตเครื่องจักรกลและระบบควบคุมอัตโนมัติในโรงงานอุตสาหกรรม,งานแผนกลยุทธ์ดิจิทัล,2553
แผนกลยุทธ์ทางด้านระบบสารสนเทศของ บริษัท แพรคติก้า จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท ลีโอ โกลบอล โลจิสติกส์ จำกัดแผนกลยุทธ์ทางด้านระบบสารสนเทศของ บริษัท แพรคติก้า จำกัด,งานแผนกลยุทธ์ดิจิทัล,2553
Factors affecting Acceptance of SMS Mobile Marketing,วิทยานิพนธ์,2554
 Enhancing trust through IT risk management to achieve e-government success,วิทยานิพนธ์,2554
Stage Assessment of Thai e-Government Websites,วิทยานิพนธ์,2554
The mediating effect of self-service technology quality on the relationship between technology readiness and e-satisfaction,วิทยานิพนธ์,2554
"Data warehouse implementation success factors and Impact of Leadership, Personality on relationship between success and factors",วิทยานิพนธ์,2554
Factors that affect of information system used in immigration The case of Thai Immigration Bureau,งานวิจัย,2554
Study of Adoption toward using open source software,งานวิจัย,2554
Crowdsourcing for Organizational Problem Solving,งานวิจัย,2554
The Impact of Perceived Process Tecnology Fit on Loan Origination Process Performance,งานวิจัย,2554
The Development of Tacit Knowledge Sharing Behavior in organizations,งานวิจัย,2554
The Development of Tacit Knowledge Sharing Behavior in organizations,งานวิจัย,2554
Factors affecting the behavioral intention to use Location-Based Services (LBS) in Bangkok Metropolitan Area.,งานวิจัย,2554
The Intention to Apply for Jobs via Job Search websites,งานวิจัย,2554
Preferences of Working-Age Consumers to Facebook Application-Based Marketing Campaigns,งานวิจัย,2554
Innovate WLMA Behavior,งานวิจัย,2554
Matching Training Methods and IT Skills,งานวิจัย,2554
Guideline of Promoting Awareness to Fulfilling Internal Controls and Information Technology Security Regulation: Case study research of Thai Cooperative,งานวิจัย,2554
Intention to adopt enterprise resource planning on cloud computing technology,งานวิจัย,2554
Intention to Comply with Green IT Policies in Organization: An Employee Perspective,งานวิจัย,2554
Key Success Factors for Green IT Adoption in Organization,งานวิจัย,2554
Task-Technology fit and the relationship with Intention to use Mobile Banking,งานวิจัย,2554
The Approach to Guideline of Mobile Payment by Using Near Filed Communication Technology,งานวิจัย,2554
Factors Effecting IT Investment Decision-Making of Thai Commercial Banks: Decision-Making on an E-Payment System for Thailand National Single Window,งานวิจัย,2554
Critical Success Factors for Implementing Hospital Information Systems,งานวิจัย,2554
ระบบงานขายสินค้าออนไลน์และระบบจัดเก็บสินค้าร้านขายส่งรองเท้า,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
Information system J-Park for Carpark,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
ระบบบันทึกงานตรวจสอบคุณภาพ แผนกประกันคุณภาพ บริษัท โปรเฟล็กซี่ – แพ็ค จำกัด,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
ระบบพาณิชย์อิเล็กทรอนิกส์ของโรงงานขายเชือกเทคเทกซ์ คอร์ด,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
Software Asset Management System บมจ. ไทยพาณิชย์ประกันชีวิต จำกัด (มหาชน),งานพัฒนา/จัดหาระบบสารสนเทศ,2554
ระบบ User Requirement Tracking System,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
IT Kiatnakin Bank’s Knowledge Management System,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
Book and Instructional Medias Requirement Management System for Free Learning Project,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
Signboard Production Management System: Website,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
ระบบสารสนเทศบนโทรศัพท์มือถือ (iTUMIS) สาหรับเผยแพร่ข่าวสารประชาสัมพันธ์ ข้อมูลการติดต่อและข้อมูลการเรียนการสอนสำหรับนักศึกษาโครงการ MSMIS มหาวิทยาลัยธรรมศาสตร์,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
"ระบบสนับสนุนการขาย (Sales Support System)
บริษัท แมนด้อม อินเตอร์เทรด จำกัด",งานพัฒนา/จัดหาระบบสารสนเทศ,2554
"โครงการพัฒนาเครือข่ายสังคมเพื่อการแลกเปลี่ยนความรู้
(The social networking site for knowledge sharing): ma2post.com",งานพัฒนา/จัดหาระบบสารสนเทศ,2554
ระบบจัดการข้อมูลลูกค้าและการชำระเงิน บริษัทพันทิปมาร์เก็ต,งานพัฒนา/จัดหาระบบสารสนเทศ,2554
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท เนเชอร์แคร์ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
แผนกลยุทธ์ทางด้าน IS ศูนย์การแพทย์โรงพยาบาลกรุงเทพ,งานแผนกลยุทธ์ดิจิทัล,2554
แผนพัฒนากลยุทธ์ระบบสารสนเทศของ บริษัท ฟาม่าดรัก แอนด์ เฮลท์แคร์ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
แผนพัฒนากลยุทธ์ระบบสารสนเทศ ฝ่ายบริหารงานสารสนเทศ สำนักงานจัดการอสังหาริมทรัพย์,งานแผนกลยุทธ์ดิจิทัล,2554
แผนระบบสารสนเทศเชิงกลยุทธ์ กระณีศึกษา บริษัท โปรเฟล็กซี่ – แพ็ค จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
แผนกลยุทธ์ระบบสารสนเทศของบริษัท ซี.เอ็ม.พี. โปรดักส์ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
แผนกลยุทธ์ทางระบบสารสนเทศ โครงการพัฒนาดอยตุง (พื้นที่ทรงงาน) อันเนื่องมาจากพระราชดำริ สำหรับ กลุ่มธุรกิจท่องเที่ยว,งานแผนกลยุทธ์ดิจิทัล,2554
แผนระบบสารสนเทศเชิงกลยุทธ์: กรณีศึกษา บริษัท ทีดับบลิว ไทยแลนด์ จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
แผนพัฒนากลยุทธ์ระบบสารสนเทศ ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร สำนักปลัดกระทรวงสาธารณสุข ปี พ.ศ. 2557-2559,งานแผนกลยุทธ์ดิจิทัล,2554
แผนกลยุทธ์ระบบสารสนเทศสำหรับธุรกิจ IT,งานแผนกลยุทธ์ดิจิทัล,2554
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา ธนาคารซีโอที จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2554
แผนกลยุทธ์ทางระบบสารสนเทศ บริษัท เฟล็กซ์โซ กราฟฟิก จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
โครงการวางแผนพัฒนากลยุทธ์สารสนเทศ บริษัท อินเตอร์คอต จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัท ทีซี จำกัด (มหาชน),งานแผนกลยุทธ์ดิจิทัล,2554
แผนพัฒนากลยุทธ์ระบบสารสนเทศสำหรับธุรกิจ IT,งานแผนกลยุทธ์ดิจิทัล,2554
แผนระบบสารสนเทศเชิงกลยุทธ์ กรณีศึกษา บริษัทเจที (ประเทศไทย) จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
แผนกลยุทธ์ระบบสารสนเทศ กรณีศึกษา บริษัท ทีเจเจ แอดวานซ์ อินเตอร์แพค จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
แผนพัฒนากลยุทธ์ระบบสารสนเทศ บริษัท เอส ไอ เอ็นจิเนียริ่ง จำกัด,งานแผนกลยุทธ์ดิจิทัล,2554
Factors Influencing Consumer’s Intention to Use Mobile Payment,วิทยานิพนธ์,2555
"Achieving time-based operational performance through supply chain integration, knowledge management, and information technology",วิทยานิพนธ์,2555
Factors affecting Intention to use E-book in Thailand,วิทยานิพนธ์,2555
The influence of electronic medical record system on individual performance through system utilization,วิทยานิพนธ์,2555
Factors affecting the intention to book through the hotel website,งานวิจัย,2555
The Effect of Level of Information Disclosure on Facebook,งานวิจัย,2555
"Survey the factors that risk of security threats, security information systems in organizations",งานวิจัย,2555
Influence factors on intention to buy legally mobile application in Bangkok Thailand,งานวิจัย,2555
Factors affecting Purchase Intention on Instagram,งานวิจัย,2555
Influence of facebook’s campaignthrough people’s intention to vote,งานวิจัย,2555
Barriers factors of E-learning in Organization,งานวิจัย,2555
User-generated content effect on purchase intention in mobile application market,งานวิจัย,2555
Government cloud adoption of government agencies. Case Study: Saraban Electronic,งานวิจัย,2555
ปัจจัยที่มีผลต่อการโทรซ้ำ (Repeating Call) ในการใช้บริการระบบตอบรับโทรศัพท์อัตโนมัติ กรณีศึกษาลูกค้า บริษัท แอดวาน อินโฟร์ เซอร์วิส จำกัด (มหาชน),งานวิจัย,2555
Successful implementation of ERP projects : evidence from manufacturing case studies in Thailand,งานวิจัย,2555
Factor and consequence of tablet addiction,งานวิจัย,2555
Factors that influence knowledge sharing within Krung Thai Bank Public Company Limited,งานวิจัย,2555
Internet Banking and Life Style of Bankok Bank’s Customer,งานวิจัย,2555
Meeting Management System,งานพัฒนา/จัดหาระบบสารสนเทศ,2555
Sale Support and Inventory Management System,งานพัฒนา/จัดหาระบบสารสนเทศ,2555
โปรแกรมจำลองสถานการณ์ทางการตลาด,งานพัฒนา/จัดหาระบบสารสนเทศ,2555
